Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
1307-1	1439.2	470.00	355.00	78.670	245.00	34.000	
	1008.8	201.00	525.00	50.900	260.00	70.000	
	2389.4	481.00	581.00	111.06	239.00	127.00	
				206.70	340.00	172.00	
				106.44	421.00	263.00	
				222.13	445.00	270.00	
				143.46	422.00	332.00	
				91.010	117.00	371.00	
				121.86	19.000	380.00	
				75.590	154.00	428.00	
				539.90	575.00	458.00	
				135.75	137.00	476.00	
1307-2	5695.1	404.00	183.00	38.560	421.00	64.000	
	2448.1	221.00	351.00	77.130	617.00	74.000	
	1231.0	131.00	466.00	103.35	614.00	106.00	
	1712.2	281.00	494.00	94.100	479.00	115.00	
				27.770	593.00	129.00	
				146.54	145.00	155.00	
				84.840	106.00	212.00	
				100.27	23.000	218.00	
				131.12	145.00	221.00	
				202.08	304.00	232.00	
				143.46	284.00	231.00	
				101.81	337.00	238.00	
				24.680	366.00	245.00	
				55.530	309.00	257.00	
				75.590	401.00	260.00	
				46.280	391.00	273.00	
				208.25	222.00	299.00	
				33.940	625.00	295.00	
				368.67	413.00	322.00	
				55.530	2.0000	306.00	
				84.840	58.000	321.00	
				100.27	115.00	330.00	
				24.680	166.00	327.00	
				80.210	129.00	332.00	
				297.71	177.00	342.00	
				20.050	187.00	350.00	
				305.43	282.00	363.00	
				248.35	134.00	361.00	
				107.98	156.00	383.00	
				26.220	598.00	377.00	
				57.070	598.00	377.00	
				32.390	603.00	385.00	
				23.140	316.00	388.00	
				172.77	366.00	387.00	
				72.500	36.000	394.00	
				29.310	375.00	398.00	
				41.650	495.00	407.00	
				70.960	519.00	408.00	
				32.390	407.00	408.00	
				20.050	324.00	409.00	
				120.32	185.00	414.00	
				29.310	393.00	418.00	
				49.360	170.00	417.00	
				26.220	527.00	421.00	
				43.190	235.00	427.00	
				175.85	317.00	434.00	
				441.17	227.00	447.00	
				263.78	186.00	459.00	
				95.640	602.00	457.00	
				60.160	373.00	457.00	
				189.74	257.00	474.00	
				87.930	598.00	479.00	
				104.89	581.00	498.00	
				86.380	557.00	498.00	
				52.440	4.0000	501.00	
				111.06	618.00	507.00	
				245.27	535.00	517.00	
				296.17	491.00	527.00	
				111.06	155.00	531.00	
				129.58	455.00	552.00	
				75.590	108.00	592.00	
				87.930	353.00	603.00	
				104.89	448.00	621.00	
				57.000	84.000	625.00	
1307-3	714.21	478.00	132.00	1249.5	330.00	32.000	
	1127.6	26.000	176.00	541.44	519.00	36.000	
	853.04	228.00	310.00	2037.7	110.00	126.00	
	624.74	141.00	402.00	154.26	479.00	105.00	
	1817.1	110.00	448.00	820.64	132.00	177.00	
	1312.7	375.00	473.00	141.92	170.00	237.00	
				907.03	81.000	355.00	
1307-4	2804.4	606.00	34.000	78.670	503.00	74.000	
	769.74	584.00	73.000	146.54	270.00	156.00	
	829.90	469.00	109.00	128.03	91.000	315.00	
	1507.1	341.00	255.00	91.010	177.00	330.00	
	4930.0	304.00	402.00	149.63	510.00	394.00	
	3322.7	411.00	521.00	228.30	551.00	417.00	
				97.180	485.00	442.00	
				109.52	519.00	455.00	
				135.75	555.00	480.00	
				177.39	541.00	536.00	
				143.46	607.00	546.00	
				115.69	209.00	561.00	
1307-5	762.03	254.00	185.00	47.820	294.00	10.000	
	1261.8	375.00	242.00	46.280	526.00	32.000	
	1241.8	295.00	493.00	80.210	421.00	111.00	
				44.730	612.00	115.00	
				67.870	362.00	131.00	
				44.730	438.00	163.00	
				87.930	340.00	178.00	
				40.110	114.00	178.00	
				63.250	147.00	231.00	
				69.420	173.00	234.00	
				63.250	242.00	239.00	
				52.800	434.00	239.00	
				107.98	576.00	263.00	
				92.550	135.00	268.00	
				49.360	72.000	270.00	
				169.68	602.00	296.00	
				57.070	67.000	296.00	
				43.190	274.00	309.00	
				38.560	21.000	314.00	
				26.220	45.000	316.00	
				84.840	88.000	324.00	
				180.48	572.00	349.00	
				368.67	407.00	382.00	
				86.380	577.00	397.00	
				74.040	560.00	427.00	
				47.820	635.00	443.00	
				29.310	418.00	452.00	
				143.46	606.00	460.00	
				30.850	9.0000	466.00	
				98.720	630.00	516.00	
				129.58	566.00	516.00	
				111.06	192.00	28.000	
				138.83	132.00	39.000	
				124.95	125.00	46.000	
				160.43	47.000	545.00	
				195.91	499.00	613.00	
