Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
T296-2	1325.4	343	17.000	124.55	450.00	11.000	
	927.17	489	116.00	136.85	550.00	40.000	
	10460	326	281.00	164.52	452.00	59.000	huge green nevus
	1021.0	613	276.00	107.63	535.00	68.000	
	937.94	505	326.00	242.94	107.00	62.000	
	2163.4	595	333.00	186.05	385.00	111.00	
	1297.7	336	430.00	126.08	403.00	112.00	
				149.15	327.00	150.00	
				887.20	369.00	177.00	
				215.26	283.00	181.00	
				213.73	89.000	195.00	
				144.53	178.00	213.00	
				1160.9	456.00	214.00	
				136.85	254.00	234.00	
				233.72	260.00	251.00	
				336.73	410.00	262.00	
				252.17	441.00	265.00	
				92.260	626.00	246.00	
				249.09	40.000	254.00	
				298.29	153.00	244.00	
				493.57	228.00	281.00	
				553.54	420.00	286.00	
				398.24	316.00	384.00	
				178.36	370.00	393.00	
				215.26	303.00	401.00	
				395.16	269.00	463.00	
				659.63	541.00	508.00	
				104.56	157.00	513.00	
				106.09	24.000	522.00	
				101.48	141.00	555.00	
				115.32	399.00	554.00	
				158.37	288.00	582.00	
				176.82	493.00	602.00	
				115.32	111.00	616.00	
				465.89	68.000	629.00	
							
T296-1	1709.8	181	67.000	113.78	241.00	5.0000	
	2544.7	373	136.00	99.940	206.00	13.000	
	2663.1	535	203.00	167.60	368.00	14.000	
	1571.4	323	223.00	209.11	274.00	21.000	
	498.18	140	233.00	110.71	376.00	26.000	
	4094.6	476	313.00	139.92	326.00	32.000	
	579.68	171	321.00	99.940	627.00	13.000	
	1137.8	59	376.00	113.78	343.00	42.000	
	3516.5	62	85.000	202.96	58.000	33.000	
				98.410	205.00	42.000	
				139.92	405.00	47.000	
				127.62	379.00	55.000	
				711.91	115.00	59.000	
				113.78	205.00	55.000	
				676.54	250.00	58.000	
				399.78	600.00	59.000	
				1222.4	518.00	59.000	
				1729.8	446.00	89.000	
				398.24	358.00	81.000	
				1045.6	411.00	105.00	
				84.570	529.00	90.000	
				270.62	596.00	112.00	
				319.82	519.00	133.00	
				98.410	135.00	83.000	
				116.86	112.00	121.00	
				186.05	159.00	128.00	
				127.62	331.00	119.00	
				258.32	558.00	153.00	
				67.650	116.00	142.00	
				325.97	176.00	142.00	
				939.47	328.00	178.00	
				147.61	85.000	158.00	
				93.790	596.00	176.00	
				93.790	297.00	187.00	
				138.38	117.00	208.00	
				156.84	80.000	217.00	
				1007.1	450.00	168.00	
				2392.5	579.00	249.00	
				1755.9	488.00	238.00	
				2420.2	613.00	281.00	
