Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
T306-2	3613.36	271	137.00	143.00	198.00	203.00	
	2209.53	230	259.00	119.93	256.00	281.00	
	2141.88	598	291.00	89.18	42.000	368.00	
	1071.71	344	331.00	4026.97	262.00	373.00	
	555.07	512	353.00	196.81	58.000	456.00	
	2866.09	305	353.00	239.87	324.00	460.00	
	1574.50	365	379.00	144.53	85.000	535.00	
				167.60	169.00	562.00	
				101.48	158.00	572.00	
				73.80	169.00	592.00	
				118.40	101.00	606.00	
							
T306-1	959.46	476	120.00	155.30	136.00	90.000	
	1123.99	436	168.00	113.78	323.00	20.000	
	3105.95	197	210.00	96.87	256.00	62.000	
	1496.08	363	241.00	130.70	269.00	75.000	
	808.78	441	435.00	3265.86	541.00	145.00	
				1586.80	434.00	218.00	
				2919.90	422.00	251.00	
				3474.98	279.00	363.00	
				103.02	298.00	276.00	
				99.94	322.00	535.00	
							
T306-3	2358.68	349	286.00	158.37	63.000	133.00	
	1064.02	341	420.00	345.96	488.00	369.00	
				524.32	589.00	401.00	
				116.86	102.00	420.00	
				198.35	22.000	441.00	
				1300.81	559.00	471.00	
				64.58	623.00	493.00	
				130.70	396.00	613.00	
				206.04	424.00	621.00	
							
T306-4	854.91	285	177.00	95.33	197.00	7.0000	
	1243.92	233	281.00	146.07	344.00	7.0000	
	1222.39	230	322.00	101.48	359.00	64.000	
	3839.39	463	342.00	118.40	189.00	80.000	
	791.86	432	471.00	252.17	322.00	101.00	
				107.63	332.00	136.00	
				2918.36	240.00	178.00	
				84.57	373.00	161.00	
				123.01	432.00	164.00	
				512.02	49.000	159.00	
				121.47	117.00	171.00	
				116.86	509.00	202.00	
				112.24	489.00	210.00	
				1182.41	194.00	235.00	
				2100.36	323.00	215.00	
				169.14	612.00	252.00	
				196.81	535.00	271.00	
				176.82	457.00	255.00	
				126.08	406.00	286.00	
				152.22	342.00	297.00	
				155.30	602.00	303.00	
				258.32	35.000	298.00	
				997.90	360.00	326.00	
				127.62	575.00	327.00	
				241.40	503.00	353.00	
				229.10	336.00	348.00	
				276.77	406.00	369.00	
				221.41	172.00	399.00	
				99.94	219.00	419.00	
				92.26	57.000	446.00	
				241.40	342.00	452.00	
				136.85	202.00	486.00	
				204.50	45.000	487.00	
				116.86	162.00	496.00	
				124.55	575.00	567.00	
							
T306-5	3188.98	296	236.00	81.49	389.00	77.000	
	1473.02	223	469.00	101.48	343.00	89.000	
	1782.08	349	607.00	558.15	546.00	415.00	
				210.65	483.00	415.00	
				199.89	512.00	438.00	
				209.11	271.00	442.00	
				123.01	76.000	427.00	
				139.92	220.00	513.00	
